zip_code,population,poverty_rate,median_income
00601,17242.0,62.47535088736805,13092.0
00602,38442.0,51.01451537380989,16358.0
00603,48814.0,49.85659851681895,16603.0
00606,6437.0,64.67298430946093,12832.0
00610,27073.0,43.30513796032948,19309.0
00612,60303.0,47.339270019733675,18171.0
00616,10765.0,50.05109150023223,16018.0
00617,23974.0,49.549511971302245,16735.0
00622,6578.0,50.30404378230465,15206.0
00623,42427.0,53.30803497772645,16280.0
00624,22707.0,55.132778438367026,17578.0
00627,32222.0,50.13034572652225,16831.0
00631,1568.0,65.05102040816327,9681.0
00637,22975.0,46.816104461371054,16887.0
00638,16701.0,55.63139931740614,14916.0
00641,27571.0,51.81894019078017,16795.0
00646,37494.0,34.49885314983731,29320.0
00647,5643.0,62.59082048555733,13674.0
00650,14760.0,52.289972899728994,19631.0
00652,3697.0,43.81931295645118,21650.0
00653,11140.0,64.33572710951526,12915.0
00656,18979.0,55.434954423309975,16902.0
00659,40390.0,46.34067838573905,17201.0
00660,16180.0,40.741656365883806,19394.0
00662,40290.0,54.13005708612559,17180.0
00664,14991.0,59.60242812354079,15253.0
00667,23590.0,60.86477320898686,13766.0
00669,25653.0,54.30553931314076,14816.0
00670,8498.0,56.00141209696399,13427.0
00674,39859.0,45.72618480142502,19211.0
00676,36995.0,56.9914853358562,14146.0
00677,14311.0,41.939766613094825,21673.0
00678,26091.0,51.94128243455598,16200.0
00680,46395.0,51.387002909796315,13911.0
00682,32359.0,53.709941592756266,15029.0
00683,30424.0,51.571128056797264,15523.0
00685,38039.0,54.84634191224796,14617.0
00687,31320.0,45.367177522349934,20589.0
00688,12202.0,48.18882150467137,17231.0
00690,5352.0,51.158445440956655,17622.0
00692,35840.0,46.38950892857143,19094.0
00693,54428.0,45.21018593371059,19119.0
00698,36312.0,47.97036792244988,15019.0
00703,26320.0,50.984042553191486,17129.0
00704,8274.0,61.59052453468697,14293.0
00705,23176.0,46.552468070417675,19516.0
00707,10964.0,48.92375045603794,19596.0
00714,17998.0,57.728636515168354,17095.0
00715,2972.0,65.37685060565276,13070.0
00716,28089.0,47.288974331588875,18818.0
00717,16659.0,56.413950417191906,12251.0
00718,25715.0,49.30196383433793,19318.0
00719,29119.0,45.1766887599162,19757.0
00720,21276.0,57.07369806354578,13408.0
00723,17393.0,53.09032369343989,15826.0
00725,80555.0,41.22649121718081,20920.0
00727,54823.0,31.380989730587526,31401.0
00728,39698.0,46.35246108116278,19047.0
00729,51593.0,42.569728451534125,20920.0
00730,31634.0,54.8713409622558,15431.0
00731,12722.0,53.51359849080333,17083.0
00735,12404.0,43.70364398581103,19184.0
00736,47411.0,43.78941595832191,21000.0
00738,30376.0,43.00105346326047,19404.0
00739,36847.0,41.74831058159416,20098.0
00740,1625.0,65.96923076923076,13136.0
00741,4880.0,45.1844262295082,22073.0
00745,51429.0,37.813296000311105,22782.0
00751,21009.0,51.28278356894664,17567.0
00754,37727.0,44.81670951838206,18895.0
00757,22066.0,47.09507840116016,17640.0
00765,8607.0,41.55919600325316,15271.0
00766,23201.0,48.062583509331496,19746.0
00767,34166.0,53.33957735760698,15999.0
00769,39121.0,46.78561386467626,19928.0
00771,37165.0,43.594780034979145,21499.0
00772,20055.0,56.210421341311395,15658.0
00773,18547.0,44.65951366797865,20829.0
00775,1299.0,41.64742109314857,23281.0
00777,39994.0,50.08001200180027,19139.0
00778,46675.0,28.831280128548475,33763.0
00780,11653.0,38.86552819016562,24287.0
00782,18229.0,59.816775467661415,12492.0
00783,33372.0,56.92197051420352,14748.0
00784,40685.0,49.06476588423252,16680.0
00791,48569.0,44.01573019827462,19793.0
00794,28755.0,58.32376977916884,15970.0
00795,44766.0,46.55318768708395,20700.0
00901,6536.0,37.98959608323133,20943.0
00906,184.0,7.065217391304348,102917.0
00907,16202.0,26.459696333785953,33167.0
00909,4989.0,47.965524153136904,16875.0
00911,7242.0,28.583264291632148,32833.0
00912,5455.0,42.32813932172319,22268.0
00913,8406.0,81.16821318106115,6878.0
00915,26131.0,59.986223259729826,13839.0
00917,18212.0,52.207335822534596,14307.0
00918,16063.0,41.243852331444934,23434.0
00920,16809.0,32.08995181152954,25841.0
00921,33394.0,44.4810444990118,19358.0
00923,24028.0,55.510238055601796,14241.0
00924,49508.0,47.18227357194797,18832.0
00925,6924.0,61.95840554592721,9468.0
00926,96530.0,29.383611312545323,34781.0
00927,13351.0,25.6984495543405,33502.0
00949,73891.0,33.733472276731945,26392.0
00952,8156.0,50.68661108386464,14911.0
00953,71891.0,28.845057100332447,29146.0
00956,65355.0,38.0843087751511,23149.0
00957,38915.0,36.5771553385584,24612.0
00959,47459.0,29.648749446891,30049.0
00961,30784.0,30.765982328482327,29197.0
00962,19593.0,52.722911243811566,16062.0
00965,7314.0,49.71287940935193,14821.0
00966,15710.0,21.559516231699554,47315.0
00968,3554.0,15.053460889138998,48175.0
00969,42525.0,17.608465608465607,51910.0
00971,26640.0,37.54504504504504,20608.0
00976,58893.0,30.79143531489311,31304.0
00979,15897.0,16.298672705541925,36270.0
00982,14241.0,36.01572923249772,24970.0
00983,34798.0,33.111098338985,26259.0
00985,31845.0,32.41325168786309,25338.0
00987,57181.0,26.25347580490023,33042.0
01001,17621.0,8.586345837353159,62144.0
01002,30066.0,23.737776890840152,55858.0
01003,11238.0,0.5783947321587471,2499.0
01005,4991.0,6.6720096173111605,68278.0
01007,14967.0,5.238190686176255,93300.0
01008,1197.0,5.012531328320802,75250.0
01009,249.0,24.899598393574298,81250.0
01010,3739.0,2.8617277346884196,84471.0
